DHSCLUST,goes_out,neglect_children,Urgues,Refuse_sex,Burns_Food,Overall
34,0,0,0,0,0,
34,0,0,0,0,0,
34,0,0,0,0,0,
34,0,0,0,1,1,
34,0,0,0,0,0,
34,0,0,0,0,0,
34,0,0,0,0,0,
34,0,0,0,0,0,
34,1,1,1,1,1,
34,1,1,1,1,1,
34,0,0,0,0,0,
34,0,0,0,0,0,
34,0,0,0,0,0,
34,0,0,0,0,0,
35,0,0,0,0,0,
35,1,1,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,1,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
35,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,1,1,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
36,0,0,0,0,0,
37,1,1,1,1,0,
37,0,1,0,0,0,
37,0,0,0,0,0,
37,0,0,0,0,0,
37,0,1,0,0,0,
37,0,0,0,0,0,
37,0,0,0,0,0,
37,0,0,0,0,0,
37,0,0,0,0,0,
37,1,1,0,0,0,
37,1,1,0,0,0,
37,0,1,0,0,0,
37,0,0,0,0,0,
37,0,0,0,0,0,
37,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,1,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,0,0,0,0,
38,0,1,0,0,0,
38,0,0,0,0,0,
39,1,1,0,1,0,
39,0,0,0,0,0,
39,1,1,0,1,0,
39,1,1,1,0,0,
39,1,1,1,1,0,
39,1,1,0,0,0,
39,0,1,1,1,0,
39,0,0,0,0,0,
39,1,1,0,1,0,
39,0,0,0,0,0,
39,0,0,0,0,0,
39,1,1,1,1,0,
39,0,0,0,0,0,
39,0,0,0,0,0,
39,0,0,1,0,0,
39,1,1,0,0,1,
39,0,0,0,0,0,
39,0,0,1,1,0,
39,0,0,0,1,0,
39,0,0,0,0,0,
39,1,1,0,0,0,
39,0,0,0,1,0,
39,0,0,1,1,0,
39,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
40,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,1,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,8,0,8,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,0,0,0,0,0,
41,1,1,0,0,0,
41,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,1,1,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,1,0,1,1,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
42,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,1,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
43,0,0,0,0,0,
44,0,1,0,1,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
44,0,0,1,1,0,
44,1,1,0,1,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
44,1,0,0,0,0,
44,1,1,1,1,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
44,1,1,1,1,1,
44,1,1,1,0,0,
44,1,1,1,0,0,
44,0,0,0,0,0,
44,1,1,1,0,0,
44,1,1,1,0,0,
44,0,0,0,0,0,
44,1,1,1,1,0,
44,1,1,1,1,0,
44,0,0,0,0,0,
44,0,1,0,0,0,
44,0,0,0,0,0,
44,0,1,0,0,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
44,1,1,1,1,1,
44,1,1,0,0,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
44,0,0,0,0,0,
45,0,1,1,1,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,1,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,1,0,0,
45,1,1,1,1,1,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,1,1,1,1,1,
45,1,1,1,1,1,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,1,1,0,0,0,
45,1,1,0,0,0,
45,1,1,0,1,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
45,0,0,0,0,0,
46,1,1,1,0,1,
46,0,0,0,0,0,
46,1,0,1,0,0,
46,1,0,1,0,0,
46,0,0,1,0,0,
46,0,0,0,0,0,
46,1,1,0,0,0,
46,1,1,1,1,0,
46,0,0,0,0,0,
46,0,0,0,0,0,
46,0,0,0,0,0,
46,0,0,0,0,0,
46,0,0,0,0,0,
46,1,1,0,0,0,
46,0,0,0,0,0,
46,1,1,1,0,0,
46,0,0,1,0,0,
46,1,1,1,0,1,
46,0,0,0,0,0,
46,0,0,0,0,0,
46,0,0,0,0,0,
46,0,1,1,0,0,
46,0,0,0,0,0,
46,1,1,1,0,1,
46,0,0,0,0,0,
46,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,1,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,1,0,1,0,0,
47,0,0,1,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
47,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,1,1,0,0,0,
48,0,0,0,0,0,
48,0,1,0,0,0,
48,0,0,1,0,0,
48,1,0,1,1,1,
48,0,0,0,0,0,
48,0,1,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,1,1,1,1,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
48,0,0,0,0,0,
49,1,1,1,1,1,
49,0,0,8,8,0,
49,1,0,0,0,0,
49,0,0,0,0,0,
49,0,0,0,0,0,
